campaign_id,stat_date,placement,platform,advertiser_industry,impression_cnt,click_cnt,revenue,currency,viewability_rate
cmp_202410_002,2024-10-20,top_banner,kmg_direct,3C,22209,33,718.08,TWD,0.688
cmp_202410_002,2024-10-21,top_banner,kmg_direct,3C,23260,34,1020.89,TWD,0.685
cmp_202410_002,2024-10-22,top_banner,kmg_direct,3C,63152,115,2336.12,TWD,0.705
cmp_202410_002,2024-10-23,top_banner,kmg_direct,3C,39945,66,1821.86,TWD,0.578
cmp_202410_002,2024-10-24,top_banner,kmg_direct,3C,23267,42,1012.63,TWD,0.612
cmp_202410_002,2024-10-25,top_banner,kmg_direct,3C,119239,246,5360.43,TWD,0.437
cmp_202410_002,2024-10-26,top_banner,kmg_direct,3C,40854,76,1264.38,TWD,0.716
cmp_202410_002,2024-10-27,top_banner,kmg_direct,3C,23290,28,700.8,TWD,0.458
cmp_202410_002,2024-10-28,top_banner,kmg_direct,3C,89348,234,3902.47,TWD,0.538
cmp_202410_002,2024-10-29,top_banner,kmg_direct,3C,7171,10,205.35,TWD,0.85
cmp_202410_002,2024-10-30,top_banner,kmg_direct,3C,127924,206,4950.05,TWD,0.549
cmp_202410_002,2024-10-31,top_banner,kmg_direct,3C,41850,72,1439.18,TWD,0.673
cmp_202410_002,2024-10-19,in_article,kmg_direct,3C,52493,155,3975.33,TWD,0.574
cmp_202410_002,2024-10-20,in_article,kmg_direct,3C,26997,91,1893.85,TWD,0.749
cmp_202410_002,2024-10-21,in_article,kmg_direct,3C,4520,16,276.08,TWD,0.525
cmp_202410_002,2024-10-22,in_article,kmg_direct,3C,99049,251,5524.05,TWD,0.438
cmp_202410_002,2024-10-23,in_article,kmg_direct,3C,21081,64,1153.22,TWD,0.485
cmp_202410_002,2024-10-24,in_article,kmg_direct,3C,68064,327,4687.88,TWD,0.344
cmp_202410_002,2024-10-25,in_article,kmg_direct,3C,63091,254,4017.27,TWD,0.636
cmp_202410_002,2024-10-26,in_article,kmg_direct,3C,61420,232,3057.59,TWD,0.708
cmp_202410_002,2024-10-27,in_article,kmg_direct,3C,154342,722,11171.4,TWD,0.767
cmp_202410_002,2024-10-28,in_article,kmg_direct,3C,7912,26,528.41,TWD,0.624
cmp_202410_002,2024-10-29,in_article,kmg_direct,3C,29566,133,1645.05,TWD,0.545
cmp_202410_002,2024-10-30,in_article,kmg_direct,3C,35357,145,2617.77,TWD,0.691
cmp_202410_002,2024-10-31,in_article,kmg_direct,3C,78140,293,5299.46,TWD,0.861
cmp_202410_003,2024-10-17,in_article,kmg_direct,旅遊,17846,52,1003.35,TWD,0.63
cmp_202410_003,2024-10-18,in_article,kmg_direct,旅遊,67056,278,4994.65,TWD,0.526
cmp_202410_003,2024-10-19,in_article,kmg_direct,旅遊,16637,58,1054.0,TWD,0.467
cmp_202410_003,2024-10-20,in_article,kmg_direct,旅遊,25526,76,1900.04,TWD,0.682
cmp_202410_003,2024-10-21,in_article,kmg_direct,旅遊,56452,203,3451.52,TWD,0.498
cmp_202410_003,2024-10-22,in_article,kmg_direct,旅遊,24102,132,1639.11,TWD,0.524
cmp_202410_003,2024-10-23,in_article,kmg_direct,旅遊,11112,52,706.72,TWD,0.754
cmp_202410_003,2024-10-24,in_article,kmg_direct,旅遊,23709,124,1802.59,TWD,0.68
cmp_202410_003,2024-10-25,in_article,kmg_direct,旅遊,14108,51,807.15,TWD,0.705
cmp_202410_003,2024-10-26,in_article,kmg_direct,旅遊,29321,155,1375.65,TWD,0.501
cmp_202410_003,2024-10-27,in_article,kmg_direct,旅遊,29837,140,1529.68,TWD,0.694
cmp_202410_003,2024-10-28,in_article,kmg_direct,旅遊,32839,168,2413.46,TWD,0.71
cmp_202410_003,2024-10-29,in_article,kmg_direct,旅遊,43773,144,2284.73,TWD,0.45
cmp_202410_003,2024-10-30,in_article,kmg_direct,旅遊,25552,78,1239.81,TWD,0.421
cmp_202410_003,2024-10-31,in_article,kmg_direct,旅遊,16701,48,1227.85,TWD,0.67
cmp_202410_003,2024-10-17,sidebar,kmg_direct,旅遊,24695,20,520.01,TWD,0.601
cmp_202410_003,2024-10-18,sidebar,kmg_direct,旅遊,35009,37,608.09,TWD,0.553
cmp_202410_003,2024-10-19,sidebar,kmg_direct,旅遊,14488,21,342.24,TWD,0.401
cmp_202410_003,2024-10-20,sidebar,kmg_direct,旅遊,8912,12,219.43,TWD,0.758
cmp_202410_003,2024-10-21,sidebar,kmg_direct,旅遊,20726,29,562.63,TWD,0.658
cmp_202410_003,2024-10-22,sidebar,kmg_direct,旅遊,40625,32,963.15,TWD,0.661
cmp_202410_003,2024-10-23,sidebar,kmg_direct,旅遊,7554,7,125.04,TWD,0.493
cmp_202410_003,2024-10-24,sidebar,kmg_direct,旅遊,34573,50,850.89,TWD,0.607
cmp_202410_003,2024-10-25,sidebar,kmg_direct,旅遊,7362,6,133.9,TWD,0.442
cmp_202410_003,2024-10-26,sidebar,kmg_direct,旅遊,294073,402,6633.55,TWD,0.523
cmp_202410_003,2024-10-27,sidebar,kmg_direct,旅遊,75811,69,1250.91,TWD,0.733
cmp_202410_003,2024-10-28,sidebar,kmg_direct,旅遊,116111,177,2580.61,TWD,0.615
cmp_202410_003,2024-10-29,sidebar,kmg_direct,旅遊,25561,26,457.19,TWD,0.7
cmp_202410_003,2024-10-30,sidebar,kmg_direct,旅遊,20818,18,387.28,TWD,0.714
cmp_202410_003,2024-10-31,sidebar,kmg_direct,旅遊,42064,31,748.53,TWD,0.681
cmp_202410_004,2024-10-20,sidebar,adx_prog,電信,41530,62,31.01,USD,
cmp_202410_004,2024-10-21,sidebar,adx_prog,電信,32355,27,20.33,USD,0.688
cmp_202410_004,2024-10-22,sidebar,adx_prog,電信,88075,71,62.14,USD,
cmp_202410_004,2024-10-23,sidebar,adx_prog,電信,12261,13,7.11,USD,0.688
cmp_202410_004,2024-10-24,sidebar,adx_prog,電信,83319,88,49.25,USD,
cmp_202410_004,2024-10-25,sidebar,adx_prog,電信,16723,15,13.57,USD,
cmp_202410_004,2024-10-26,sidebar,adx_prog,電信,30141,42,23.42,USD,0.602
cmp_202410_004,2024-10-20,video_preroll,adx_prog,電信,204452,2201,874.14,USD,0.616
cmp_202410_004,2024-10-21,video_preroll,adx_prog,電信,28915,320,115.48,USD,
cmp_202410_004,2024-10-22,video_preroll,adx_prog,電信,5855,42,30.15,USD,0.44
cmp_202410_004,2024-10-23,video_preroll,adx_prog,電信,38340,288,176.97,USD,0.721
cmp_202410_004,2024-10-24,video_preroll,adx_prog,電信,24030,260,131.5,USD,
cmp_202410_004,2024-10-25,video_preroll,adx_prog,電信,51334,406,258.19,USD,
cmp_202410_004,2024-10-26,video_preroll,adx_prog,電信,14081,134,80.43,USD,
cmp_202410_005,2024-10-09,video_preroll,openx_prog,3C,23011,246,119.04,USD,
cmp_202410_005,2024-10-10,video_preroll,openx_prog,3C,8394,101,41.32,USD,
cmp_202410_005,2024-10-11,video_preroll,openx_prog,3C,5920,51,27.44,USD,0.541
cmp_202410_005,2024-10-12,video_preroll,openx_prog,3C,9672,53,45.83,USD,0.652
cmp_202410_005,2024-10-13,video_preroll,openx_prog,3C,50464,360,232.8,USD,
cmp_202410_005,2024-10-14,video_preroll,openx_prog,3C,39472,426,144.11,USD,0.561
cmp_202410_005,2024-10-15,video_preroll,openx_prog,3C,28173,177,148.16,USD,0.493
cmp_202410_006,2024-10-23,video_preroll,kmg_selfserve,汽車,256164,1873,32629.36,TWD,0.607
cmp_202410_006,2024-10-24,video_preroll,kmg_selfserve,汽車,137599,1640,20237.82,TWD,0.657
cmp_202410_006,2024-10-25,video_preroll,kmg_selfserve,汽車,24116,207,2636.85,TWD,0.864
cmp_202410_006,2024-10-26,video_preroll,kmg_selfserve,汽車,13841,117,1907.09,TWD,0.621
cmp_202410_006,2024-10-27,video_preroll,kmg_selfserve,汽車,5448,57,738.08,TWD,0.64
cmp_202410_006,2024-10-28,video_preroll,kmg_selfserve,汽車,22293,134,2444.88,TWD,0.468
cmp_202410_006,2024-10-29,video_preroll,kmg_selfserve,汽車,11990,104,1713.42,TWD,0.619
cmp_202410_006,2024-10-30,video_preroll,kmg_selfserve,汽車,20130,141,2475.24,TWD,0.604
cmp_202410_006,2024-10-31,video_preroll,kmg_selfserve,汽車,25583,279,4559.09,TWD,0.682
cmp_202410_007,2024-10-01,sidebar,adx_prog,3C,55748,39,37.97,USD,0.775
cmp_202410_007,2024-10-02,sidebar,adx_prog,3C,82042,109,47.06,USD,0.623
cmp_202410_007,2024-10-03,sidebar,adx_prog,3C,21798,23,16.13,USD,0.49
cmp_202410_007,2024-10-04,sidebar,adx_prog,3C,17536,14,11.74,USD,
cmp_202410_007,2024-10-05,sidebar,adx_prog,3C,13639,13,10.66,USD,
cmp_202410_007,2024-10-06,sidebar,adx_prog,3C,112961,161,82.41,USD,
cmp_202410_007,2024-10-07,sidebar,adx_prog,3C,30636,29,17.4,USD,0.793
cmp_202410_007,2024-10-08,sidebar,adx_prog,3C,78735,98,56.06,USD,0.771
cmp_202410_007,2024-10-09,sidebar,adx_prog,3C,115578,150,86.75,USD,
cmp_202410_007,2024-10-10,sidebar,adx_prog,3C,11132,15,8.92,USD,0.7
cmp_202410_007,2024-10-11,sidebar,adx_prog,3C,17101,13,10.42,USD,
cmp_202410_007,2024-10-12,sidebar,adx_prog,3C,13655,15,8.24,USD,
cmp_202410_007,2024-10-13,sidebar,adx_prog,3C,14354,10,8.19,USD,0.539
cmp_202410_007,2024-10-14,sidebar,adx_prog,3C,62352,57,48.84,USD,0.715
cmp_202410_007,2024-10-15,sidebar,adx_prog,3C,77693,71,61.84,USD,0.723
cmp_202410_007,2024-10-16,sidebar,adx_prog,3C,30249,46,16.05,USD,0.778
cmp_202410_007,2024-10-17,sidebar,adx_prog,3C,28774,44,20.19,USD,0.728
cmp_202410_007,2024-10-18,sidebar,adx_prog,3C,62957,97,54.91,USD,
cmp_202410_007,2024-10-19,sidebar,adx_prog,3C,24578,34,15.83,USD,0.58
cmp_202410_007,2024-10-20,sidebar,adx_prog,3C,33489,32,18.81,USD,0.696
cmp_202410_007,2024-10-01,video_preroll,adx_prog,3C,90724,820,354.58,USD,
cmp_202410_007,2024-10-02,video_preroll,adx_prog,3C,318889,2499,1472.01,USD,
cmp_202410_007,2024-10-03,video_preroll,adx_prog,3C,65018,369,264.77,USD,
cmp_202410_007,2024-10-04,video_preroll,adx_prog,3C,57622,443,227.58,USD,0.723
cmp_202410_007,2024-10-05,video_preroll,adx_prog,3C,22480,172,93.27,USD,
cmp_202410_007,2024-10-06,video_preroll,adx_prog,3C,23944,222,112.35,USD,0.775
cmp_202410_007,2024-10-07,video_preroll,adx_prog,3C,115275,1204,505.43,USD,0.614
cmp_202410_007,2024-10-08,video_preroll,adx_prog,3C,26889,253,93.98,USD,
cmp_202410_007,2024-10-09,video_preroll,adx_prog,3C,24730,159,128.14,USD,
cmp_202410_007,2024-10-10,video_preroll,adx_prog,3C,61130,627,329.63,USD,0.483
cmp_202410_007,2024-10-11,video_preroll,adx_prog,3C,256702,1474,1050.04,USD,0.459
cmp_202410_007,2024-10-12,video_preroll,adx_prog,3C,55094,594,196.64,USD,
cmp_202410_007,2024-10-13,video_preroll,adx_prog,3C,43322,326,175.71,USD,
cmp_202410_007,2024-10-14,video_preroll,adx_prog,3C,72978,545,339.31,USD,0.727
cmp_202410_007,2024-10-15,video_preroll,adx_prog,3C,3834,34,18.98,USD,0.345
cmp_202410_007,2024-10-16,video_preroll,adx_prog,3C,18175,121,69.5,USD,
cmp_202410_007,2024-10-17,video_preroll,adx_prog,3C,126073,1122,709.67,USD,0.522
cmp_202410_007,2024-10-18,video_preroll,adx_prog,3C,19176,230,90.58,USD,0.666
cmp_202410_007,2024-10-19,video_preroll,adx_prog,3C,193354,1411,1012.33,USD,0.682
cmp_202410_007,2024-10-20,video_preroll,adx_prog,3C,14313,132,66.91,USD,0.834
cmp_202410_008,2024-10-15,top_banner,adx_prog,汽車,21448,40,27.79,USD,0.404
cmp_202410_008,2024-10-16,top_banner,adx_prog,汽車,83665,141,77.09,USD,
cmp_202410_008,2024-10-17,top_banner,adx_prog,汽車,52213,124,56.91,USD,
cmp_202410_008,2024-10-18,top_banner,adx_prog,汽車,28701,34,37.18,USD,
cmp_202410_008,2024-10-19,top_banner,adx_prog,汽車,10028,25,15.03,USD,0.391
cmp_202410_008,2024-10-20,top_banner,adx_prog,汽車,126667,264,157.73,USD,0.709
cmp_202410_008,2024-10-21,top_banner,adx_prog,汽車,95784,116,139.63,USD,0.873
cmp_202410_008,2024-10-22,top_banner,adx_prog,汽車,13608,28,17.56,USD,
cmp_202410_008,2024-10-23,top_banner,adx_prog,汽車,419525,1022,401.39,USD,0.546
cmp_202410_008,2024-10-24,top_banner,adx_prog,汽車,41302,100,54.49,USD,0.695
cmp_202410_008,2024-10-25,top_banner,adx_prog,汽車,32700,43,44.32,USD,
cmp_202410_008,2024-10-26,top_banner,adx_prog,汽車,80480,142,72.99,USD,0.432
cmp_202410_008,2024-10-27,top_banner,adx_prog,汽車,92666,177,104.03,USD,
cmp_202410_008,2024-10-28,top_banner,adx_prog,汽車,13613,18,15.31,USD,
cmp_202410_008,2024-10-29,top_banner,adx_prog,汽車,19292,49,24.64,USD,
cmp_202410_009,2024-10-10,in_article,kmg_direct,政府標案,42810,135,2920.88,TWD,0.58
cmp_202410_009,2024-10-11,in_article,kmg_direct,政府標案,52222,171,3983.38,TWD,0.704
cmp_202410_009,2024-10-12,in_article,kmg_direct,政府標案,13434,40,818.14,TWD,0.514
cmp_202410_009,2024-10-13,in_article,kmg_direct,政府標案,5022,24,300.12,TWD,0.679
cmp_202410_009,2024-10-14,in_article,kmg_direct,政府標案,10706,27,498.38,TWD,0.527
cmp_202410_009,2024-10-15,in_article,kmg_direct,政府標案,199725,1067,11076.84,TWD,0.59
cmp_202410_009,2024-10-16,in_article,kmg_direct,政府標案,32994,137,1914.7,TWD,0.647
cmp_202410_009,2024-10-17,in_article,kmg_direct,政府標案,58026,322,3619.67,TWD,0.702
cmp_202410_009,2024-10-18,in_article,kmg_direct,政府標案,65580,332,4688.74,TWD,0.653
cmp_202410_009,2024-10-19,in_article,kmg_direct,政府標案,11323,46,702.37,TWD,0.652
cmp_202410_009,2024-10-20,in_article,kmg_direct,政府標案,2730,12,206.02,TWD,0.528
cmp_202410_009,2024-10-21,in_article,kmg_direct,政府標案,232832,827,14718.76,TWD,0.553
cmp_202410_009,2024-10-10,sidebar,kmg_direct,政府標案,47417,63,879.8,TWD,0.625
cmp_202410_009,2024-10-11,sidebar,kmg_direct,政府標案,58424,85,1299.08,TWD,0.64
cmp_202410_009,2024-10-12,sidebar,kmg_direct,政府標案,97020,88,1831.83,TWD,0.3
cmp_202410_009,2024-10-13,sidebar,kmg_direct,政府標案,112698,134,2288.98,TWD,0.56
cmp_202410_009,2024-10-14,sidebar,kmg_direct,政府標案,89534,61,1772.83,TWD,0.58
cmp_202410_009,2024-10-15,sidebar,kmg_direct,政府標案,107166,128,2528.95,TWD,0.725
cmp_202410_009,2024-10-16,sidebar,kmg_direct,政府標案,25570,26,645.06,TWD,0.651
cmp_202410_009,2024-10-17,sidebar,kmg_direct,政府標案,29034,44,696.46,TWD,0.525
cmp_202410_009,2024-10-18,sidebar,kmg_direct,政府標案,115353,127,3162.25,TWD,0.649
cmp_202410_009,2024-10-19,sidebar,kmg_direct,政府標案,40346,44,1078.61,TWD,0.815
cmp_202410_009,2024-10-20,sidebar,kmg_direct,政府標案,14881,19,295.34,TWD,0.53
cmp_202410_009,2024-10-21,sidebar,kmg_direct,政府標案,6345,8,163.62,TWD,0.83
cmp_202410_010,2024-10-13,video_preroll,adx_prog,金融,23987,126,103.62,USD,
cmp_202410_010,2024-10-14,video_preroll,adx_prog,金融,120809,673,622.52,USD,0.53
cmp_202410_010,2024-10-15,video_preroll,adx_prog,金融,18575,201,82.22,USD,0.662
cmp_202410_010,2024-10-16,video_preroll,adx_prog,金融,7160,55,25.7,USD,
cmp_202410_010,2024-10-17,video_preroll,adx_prog,金融,162223,1945,653.78,USD,0.726
cmp_202410_010,2024-10-18,video_preroll,adx_prog,金融,5565,40,20.16,USD,0.56
cmp_202410_010,2024-10-19,video_preroll,adx_prog,金融,32766,263,152.06,USD,
cmp_202410_010,2024-10-20,video_preroll,adx_prog,金融,10199,63,43.96,USD,0.541
cmp_202410_010,2024-10-21,video_preroll,adx_prog,金融,5459,32,28.2,USD,0.719
cmp_202410_010,2024-10-22,video_preroll,adx_prog,金融,105395,1136,407.63,USD,0.613
cmp_202410_010,2024-10-23,video_preroll,adx_prog,金融,14496,77,53.6,USD,0.711
cmp_202410_010,2024-10-24,video_preroll,adx_prog,金融,99782,1013,545.46,USD,
cmp_202410_010,2024-10-25,video_preroll,adx_prog,金融,8083,68,34.99,USD,0.558
cmp_202410_010,2024-10-26,video_preroll,adx_prog,金融,18072,206,70.8,USD,0.605
cmp_202410_010,2024-10-27,video_preroll,adx_prog,金融,29639,306,157.57,USD,0.729
cmp_202410_011,2024-10-16,top_banner,kmg_direct,建設,26264,48,1064.91,TWD,0.497
cmp_202410_011,2024-10-17,top_banner,kmg_direct,建設,37488,87,1125.46,TWD,0.668
cmp_202410_011,2024-10-18,top_banner,kmg_direct,建設,28155,68,1178.03,TWD,0.537
cmp_202410_011,2024-10-19,top_banner,kmg_direct,建設,71416,190,2968.72,TWD,0.517
cmp_202410_011,2024-10-20,top_banner,kmg_direct,建設,28639,34,1219.5,TWD,0.411
cmp_202410_011,2024-10-21,top_banner,kmg_direct,建設,9427,15,306.8,TWD,0.598
cmp_202410_011,2024-10-22,top_banner,kmg_direct,建設,49127,96,2219.29,TWD,0.706
cmp_202410_011,2024-10-23,top_banner,kmg_direct,建設,34283,39,1167.08,TWD,0.708
cmp_202410_011,2024-10-24,top_banner,kmg_direct,建設,72816,166,3039.7,TWD,0.642
cmp_202410_012,2024-10-03,video_preroll,kmg_selfserve,電信,15850,125,2160.67,TWD,0.704
cmp_202410_012,2024-10-04,video_preroll,kmg_selfserve,電信,32594,180,4541.93,TWD,0.576
cmp_202410_012,2024-10-05,video_preroll,kmg_selfserve,電信,101795,874,16935.57,TWD,0.753
cmp_202410_012,2024-10-06,video_preroll,kmg_selfserve,電信,47402,426,8570.73,TWD,0.701
cmp_202410_012,2024-10-07,video_preroll,kmg_selfserve,電信,40160,427,6137.11,TWD,0.436
cmp_202410_012,2024-10-08,video_preroll,kmg_selfserve,電信,9478,67,1080.81,TWD,0.655
cmp_202410_012,2024-10-09,video_preroll,kmg_selfserve,電信,71783,805,8670.91,TWD,0.668
cmp_202410_012,2024-10-10,video_preroll,kmg_selfserve,電信,32690,213,3661.98,TWD,0.776
cmp_202410_012,2024-10-11,video_preroll,kmg_selfserve,電信,36300,344,6471.91,TWD,0.663
cmp_202410_012,2024-10-12,video_preroll,kmg_selfserve,電信,7164,49,1265.0,TWD,0.46
cmp_202410_012,2024-10-13,video_preroll,kmg_selfserve,電信,40810,251,5558.34,TWD,0.706
cmp_202410_012,2024-10-14,video_preroll,kmg_selfserve,電信,6986,64,1043.92,TWD,0.627
cmp_202410_012,2024-10-15,video_preroll,kmg_selfserve,電信,7079,85,1249.28,TWD,0.674
cmp_202410_012,2024-10-16,video_preroll,kmg_selfserve,電信,78905,744,11733.5,TWD,0.621
cmp_202410_012,2024-10-17,video_preroll,kmg_selfserve,電信,29272,250,4014.52,TWD,0.565
cmp_202410_012,2024-10-18,video_preroll,kmg_selfserve,電信,19644,165,2612.55,TWD,0.509
cmp_202410_012,2024-10-19,video_preroll,kmg_selfserve,電信,52863,426,8055.54,TWD,0.523
cmp_202410_012,2024-10-20,video_preroll,kmg_selfserve,電信,12800,109,2071.67,TWD,0.801
cmp_202410_012,2024-10-21,video_preroll,kmg_selfserve,電信,17131,141,2398.25,TWD,0.568
cmp_202410_012,2024-10-22,video_preroll,kmg_selfserve,電信,11207,59,1427.69,TWD,0.415
cmp_202410_013,2024-10-05,in_article,kmg_selfserve,旅遊,131759,738,8507.01,TWD,0.708
cmp_202410_013,2024-10-06,in_article,kmg_selfserve,旅遊,33269,153,2070.27,TWD,0.527
cmp_202410_013,2024-10-07,in_article,kmg_selfserve,旅遊,10292,46,636.71,TWD,0.546
cmp_202410_013,2024-10-08,in_article,kmg_selfserve,旅遊,42729,128,2985.82,TWD,0.753
cmp_202410_013,2024-10-09,in_article,kmg_selfserve,旅遊,29998,154,1816.46,TWD,0.573
cmp_202410_013,2024-10-10,in_article,kmg_selfserve,旅遊,29173,119,1551.62,TWD,0.664
cmp_202410_013,2024-10-11,in_article,kmg_selfserve,旅遊,24470,75,1779.49,TWD,0.409
cmp_202410_013,2024-10-12,in_article,kmg_selfserve,旅遊,170015,680,10045.34,TWD,0.615
cmp_202410_013,2024-10-05,sidebar,kmg_selfserve,旅遊,20329,28,492.12,TWD,0.615
cmp_202410_013,2024-10-06,sidebar,kmg_selfserve,旅遊,17013,20,422.7,TWD,0.731
cmp_202410_013,2024-10-07,sidebar,kmg_selfserve,旅遊,19622,18,499.71,TWD,0.745
cmp_202410_013,2024-10-08,sidebar,kmg_selfserve,旅遊,40168,27,971.52,TWD,0.45
cmp_202410_013,2024-10-09,sidebar,kmg_selfserve,旅遊,46301,49,1245.83,TWD,0.602
cmp_202410_013,2024-10-10,sidebar,kmg_selfserve,旅遊,29099,29,645.56,TWD,0.749
cmp_202410_013,2024-10-11,sidebar,kmg_selfserve,旅遊,37100,39,771.94,TWD,0.609
cmp_202410_013,2024-10-12,sidebar,kmg_selfserve,旅遊,75415,93,1789.49,TWD,0.673
cmp_202410_014,2024-10-11,sidebar,kmg_selfserve,汽車,9249,11,197.53,TWD,0.657
cmp_202410_014,2024-10-12,sidebar,kmg_selfserve,汽車,17327,16,312.13,TWD,0.642
cmp_202410_014,2024-10-13,sidebar,kmg_selfserve,汽車,47101,56,870.4,TWD,0.552
cmp_202410_014,2024-10-14,sidebar,kmg_selfserve,汽車,52979,65,932.4,TWD,0.631
cmp_202410_014,2024-10-15,sidebar,kmg_selfserve,汽車,11723,12,274.55,TWD,0.716
cmp_202410_014,2024-10-16,sidebar,kmg_selfserve,汽車,90641,112,2299.22,TWD,0.776
cmp_202410_014,2024-10-17,sidebar,kmg_selfserve,汽車,40176,45,1104.39,TWD,0.73
cmp_202410_014,2024-10-18,sidebar,kmg_selfserve,汽車,16267,21,365.7,TWD,0.538
cmp_202410_014,2024-10-19,sidebar,kmg_selfserve,汽車,157462,227,3207.37,TWD,0.525
cmp_202410_014,2024-10-20,sidebar,kmg_selfserve,汽車,74484,86,1934.67,TWD,0.39
cmp_202410_014,2024-10-21,sidebar,kmg_selfserve,汽車,43684,31,917.94,TWD,0.636
cmp_202410_014,2024-10-22,sidebar,kmg_selfserve,汽車,8996,7,200.62,TWD,0.442
cmp_202410_014,2024-10-23,sidebar,kmg_selfserve,汽車,42101,37,921.35,TWD,0.7
cmp_202410_014,2024-10-24,sidebar,kmg_selfserve,汽車,25080,27,430.32,TWD,0.747
cmp_202410_014,2024-10-25,sidebar,kmg_selfserve,汽車,11171,15,271.27,TWD,0.366
cmp_202410_014,2024-10-26,sidebar,kmg_selfserve,汽車,26131,37,481.79,TWD,0.728
cmp_202410_014,2024-10-27,sidebar,kmg_selfserve,汽車,53878,71,903.88,TWD,0.495
cmp_202410_014,2024-10-28,sidebar,kmg_selfserve,汽車,21791,19,376.07,TWD,0.567
cmp_202410_014,2024-10-29,sidebar,kmg_selfserve,汽車,295761,285,7538.07,TWD,0.38
cmp_202410_014,2024-10-30,sidebar,kmg_selfserve,汽車,17591,15,366.85,TWD,0.512
cmp_202410_014,2024-10-11,video_preroll,kmg_selfserve,汽車,21669,256,3111.01,TWD,0.668
cmp_202410_014,2024-10-12,video_preroll,kmg_selfserve,汽車,45071,345,6876.16,TWD,0.546
cmp_202410_014,2024-10-13,video_preroll,kmg_selfserve,汽車,105724,767,18550.15,TWD,0.539
cmp_202410_014,2024-10-14,video_preroll,kmg_selfserve,汽車,51439,371,7535.81,TWD,0.529
cmp_202410_014,2024-10-15,video_preroll,kmg_selfserve,汽車,48068,444,6738.84,TWD,0.511
cmp_202410_014,2024-10-16,video_preroll,kmg_selfserve,汽車,9122,61,1027.01,TWD,0.594
cmp_202410_014,2024-10-17,video_preroll,kmg_selfserve,汽車,11713,125,2062.71,TWD,0.448
cmp_202410_014,2024-10-18,video_preroll,kmg_selfserve,汽車,60716,356,7809.89,TWD,0.571
cmp_202410_014,2024-10-19,video_preroll,kmg_selfserve,汽車,100681,832,17812.29,TWD,0.662
cmp_202410_014,2024-10-20,video_preroll,kmg_selfserve,汽車,28867,315,3143.96,TWD,0.438
cmp_202410_014,2024-10-21,video_preroll,kmg_selfserve,汽車,70050,398,10670.16,TWD,0.53
cmp_202410_014,2024-10-22,video_preroll,kmg_selfserve,汽車,125091,688,19491.78,TWD,0.681
