content_id,stat_month,pv,uv,sessions,dwell_sec_total,bounce_sessions,share_cnt,comment_cnt,paywall_hit_cnt,conversion_cnt,ingest_ts,total_pv_lifetime
cnt_20241010_036,2024-10,2055,1528,1803,43558,947,10,6,30,6,2024-11-14 17:00:00,3585
cnt_20241005_019,2024-10,334,257,303,6613,174,1,1,6,2,2024-11-09 18:00:00,463
cnt_20241027_038,2024-10,1350,918,1083,37116,561,4,1,18,3,2024-12-01 16:00:00,2669
cnt_20241018_021,2024-10,484,331,391,11339,199,2,1,7,1,2024-11-22 10:00:00,1020
cnt_20241012_025,2024-10,559,391,461,13051,264,2,1,8,1,2024-11-16 11:00:00,1232
cnt_20241021_024,2024-10,2681,1759,2076,68812,1247,10,5,40,8,2024-11-25 14:00:00,5906
cnt_20241022_010,2024-10,1316,1024,1208,23275,660,5,1,29,5,2024-11-26 15:00:00,2960
cnt_20241026_014,2024-10,370,267,315,8045,177,1,1,7,1,2024-11-30 14:00:00,772
cnt_20241012_002,2024-10,3939,2592,3059,103996,1517,22,6,49,10,2024-11-16 10:00:00,7409
cnt_20241026_001,2024-10,389,264,312,9582,160,1,0,6,1,2024-11-30 08:00:00,581
cnt_20241011_026,2024-10,418,277,327,55819,176,2,1,7,1,2024-11-15 18:00:00,839
cnt_20241013_009,2024-10,424,333,393,6771,261,2,1,9,1,2024-11-17 08:00:00,787
cnt_20241009_013,2024-10,212,157,185,5253,98,1,1,3,1,2024-11-13 07:00:00,292
cnt_20241018_007,2024-10,593,424,500,14008,257,4,0,10,2,2024-11-22 08:00:00,915
cnt_20241025_037,2024-10,903,657,775,67732,435,4,2,15,4,2024-11-29 17:00:00,1723
cnt_20241025_054,2024-10,260,182,215,5635,121,1,1,5,1,2024-11-29 09:00:00,511
cnt_20241016_030,2024-10,364,274,323,7214,184,1,0,7,2,2024-11-20 19:00:00,516
cnt_20241014_045,2024-10,219,149,176,20779,79,1,0,69,20,2024-11-18 19:00:00,486
cnt_20241006_007,2024-10,272,194,229,31896,126,1,0,4,1,2024-11-10 19:00:00,409
cnt_20241011_013,2024-10,1989,1487,1755,39438,1155,5,4,42,8,2024-11-15 18:00:00,2941
cnt_20241013_008,2024-10,720,568,670,102035,441,3,1,15,3,2024-11-17 08:00:00,1070
cnt_20241001_008,2024-10,542,381,450,67885,252,3,1,10,1,2024-11-05 20:00:00,781
cnt_20241023_006,2024-10,1599,1053,1243,299668,850,9,4,20,4,2024-11-27 08:00:00,2787
cnt_20241017_017,2024-10,74,58,68,7163,33,0,0,26,8,2024-11-21 14:00:00,136
cnt_20241002_018,2024-10,914,705,832,86256,357,5,1,269,77,2024-11-06 11:00:00,1582
cnt_20241001_011,2024-10,407,280,330,53497,178,1,1,7,2,2024-11-05 19:00:00,645
cnt_20241001_005,2024-10,173,126,149,21219,66,1,0,3,1,2024-11-05 16:00:00,347
cnt_20241015_034,2024-10,230,161,190,24060,124,0,1,4,1,2024-11-19 22:00:00,453
cnt_20241016_022,2024-10,276,187,221,5977,135,1,0,5,1,2024-11-20 14:00:00,413
cnt_20241019_023,2024-10,131,87,103,3981,52,0,0,2,1,2024-11-23 15:00:00,242
cnt_20241022_013,2024-10,274,192,227,6929,125,1,0,84,17,2024-11-26 12:00:00,540
cnt_20241031_032,2024-10,911,693,818,16022,566,5,3,15,3,2024-12-05 08:00:00,2043
cnt_20241014_012,2024-10,759,492,581,17004,376,2,1,12,3,2024-11-18 19:00:00,1116
cnt_20241027_005,2024-10,307,216,255,8828,120,1,0,86,17,2024-12-01 10:00:00,528
cnt_20241017_051,2024-10,709,552,651,103510,402,2,1,12,3,2024-11-21 17:00:00,1456
cnt_20241007_004,2024-10,779,529,624,127330,321,2,1,13,3,2024-11-11 07:00:00,1169
cnt_20241011_001,2024-10,1108,768,906,96808,450,3,3,18,5,2024-11-15 17:00:00,1782
cnt_20241004_039,2024-10,528,355,419,55662,286,1,1,10,1,2024-11-08 18:00:00,810
cnt_20241025_059,2024-10,202,132,156,21261,81,1,0,3,1,2024-11-29 20:00:00,327
cnt_20241024_027,2024-10,1766,1156,1364,43597,840,5,3,513,101,2024-11-28 19:00:00,3308
cnt_20241024_009,2024-10,217,152,179,4174,120,0,0,3,1,2024-11-28 13:00:00,303
cnt_20241012_005,2024-10,123,83,98,2279,62,1,0,2,1,2024-11-16 10:00:00,189
cnt_20241020_008,2024-10,545,392,463,10951,274,1,1,11,3,2024-11-24 07:00:00,1125
cnt_20241016_025,2024-10,947,624,736,118462,338,5,1,15,4,2024-11-20 15:00:00,1696
cnt_20241024_026,2024-10,593,438,517,14241,281,1,1,8,1,2024-11-28 07:00:00,864
cnt_20241022_012,2024-10,667,475,560,10330,398,3,1,13,2,2024-11-26 08:00:00,1093
cnt_20241003_002,2024-10,112,84,99,2159,57,1,0,2,1,2024-11-07 15:00:00,234
cnt_20241003_033,2024-10,352,245,289,5480,204,1,1,5,1,2024-11-07 14:00:00,477
cnt_20241001_016,2024-10,310,204,241,7945,152,2,1,6,2,2024-11-05 13:00:00,651
cnt_20241030_031,2024-10,269,208,245,25367,118,1,0,4,0,2024-12-04 20:00:00,595
cnt_20241030_015,2024-10,482,351,414,101022,226,3,1,8,1,2024-12-04 07:00:00,955
cnt_20241011_004,2024-10,350,232,274,8732,157,2,0,5,1,2024-11-15 18:00:00,628
cnt_20241010_041,2024-10,478,361,426,86035,245,3,1,9,1,2024-11-14 11:00:00,668
cnt_20241020_014,2024-10,443,322,380,51791,198,2,0,7,1,2024-11-24 22:00:00,936
cnt_20241021_013,2024-10,480,345,407,51264,214,2,1,8,2,2024-11-25 16:00:00,1062
cnt_20241030_029,2024-10,242,189,223,4805,117,1,0,61,12,2024-12-04 07:00:00,376
cnt_20241006_021,2024-10,673,478,564,11047,353,2,1,10,2,2024-11-10 16:00:00,1342
cnt_20241011_008,2024-10,684,474,559,10609,369,2,2,11,3,2024-11-15 11:00:00,1449
cnt_20241006_012,2024-10,1043,729,860,173566,526,2,2,15,3,2024-11-10 11:00:00,1619
cnt_20241020_020,2024-10,553,412,486,10549,287,3,0,10,2,2024-11-24 11:00:00,1001
cnt_20241028_048,2024-10,1373,904,1067,26958,702,8,3,21,5,2024-12-02 12:00:00,2247
cnt_20241024_019,2024-10,147,100,118,16625,67,1,0,2,0,2024-11-28 22:00:00,246
cnt_20241031_022,2024-10,943,723,853,18730,448,4,1,14,3,2024-12-05 18:00:00,1641
cnt_20241007_042,2024-10,716,562,663,49779,426,2,2,15,2,2024-11-11 21:00:00,1087
cnt_20241023_007,2024-10,378,291,343,8042,177,1,1,6,1,2024-11-27 21:00:00,589
cnt_20241019_029,2024-10,288,227,268,27923,171,1,1,4,0,2024-11-23 20:00:00,420
cnt_20241014_055,2024-10,2044,1473,1738,30172,1297,12,5,36,7,2024-11-18 14:00:00,2831
cnt_20241023_021,2024-10,469,347,409,9515,231,2,1,7,2,2024-11-27 11:00:00,985
cnt_20241007_009,2024-10,668,493,582,18835,289,2,1,13,2,2024-11-11 16:00:00,1137
cnt_20241022_021,2024-10,1613,1129,1332,33613,813,4,3,23,4,2024-11-26 16:00:00,2254
cnt_20241019_024,2024-10,1129,735,867,27497,500,6,1,18,4,2024-11-23 11:00:00,1590
cnt_20241006_015,2024-10,1651,1170,1381,385455,630,8,1,27,6,2024-11-10 14:00:00,2916
cnt_20241007_019,2024-10,322,216,255,54141,172,2,1,4,1,2024-11-11 09:00:00,658
cnt_20241013_024,2024-10,501,374,441,11094,202,2,1,10,2,2024-11-17 10:00:00,1101
cnt_20241008_024,2024-10,103,67,79,13900,31,0,0,2,1,2024-11-12 13:00:00,191
cnt_20241009_014,2024-10,166,130,153,2304,107,0,0,55,11,2024-11-13 08:00:00,360
cnt_20241003_043,2024-10,156,113,133,16934,59,0,0,2,1,2024-11-07 18:00:00,248
cnt_20241024_015,2024-10,564,407,480,11059,336,2,1,9,2,2024-11-28 14:00:00,988
cnt_20241007_043,2024-10,641,455,537,104796,326,2,1,11,2,2024-11-11 12:00:00,1255
cnt_20241014_038,2024-10,646,495,584,9918,384,4,1,10,2,2024-11-18 08:00:00,1422
cnt_20241025_007,2024-10,138,95,112,3230,72,1,0,2,0,2024-11-29 09:00:00,245
cnt_20241027_002,2024-10,1036,730,861,22335,542,2,1,14,3,2024-12-01 16:00:00,1764
cnt_20241028_050,2024-10,67,50,59,8368,25,0,0,23,6,2024-12-02 17:00:00,97
cnt_20241023_033,2024-10,303,221,261,6476,135,1,1,5,1,2024-11-27 07:00:00,573
cnt_20241010_042,2024-10,148,106,125,2935,66,1,0,3,1,2024-11-14 09:00:00,260
cnt_20241025_026,2024-10,239,156,184,5359,117,1,0,3,1,2024-11-29 07:00:00,484
cnt_20241026_017,2024-10,325,234,276,7447,161,1,1,6,1,2024-11-30 15:00:00,687
cnt_20241016_033,2024-10,1808,1236,1458,34247,877,8,4,34,7,2024-11-20 15:00:00,3038
cnt_20241031_038,2024-10,170,126,149,14338,88,1,0,3,0,2024-12-05 21:00:00,293
cnt_20241028_020,2024-10,171,113,133,15952,61,1,0,46,13,2024-12-02 07:00:00,348
cnt_20241022_037,2024-10,1227,864,1020,188044,543,7,3,22,4,2024-11-26 07:00:00,2108
cnt_20241002_019,2024-10,3908,2746,3240,696531,2080,12,6,61,12,2024-11-06 15:00:00,8138
cnt_20241025_040,2024-10,209,154,182,4643,113,1,0,4,1,2024-11-29 11:00:00,389
cnt_20241001_029,2024-10,648,505,596,12610,356,2,1,13,2,2024-11-05 07:00:00,1138
cnt_20241015_008,2024-10,595,469,553,10754,320,1,1,13,3,2024-11-19 18:00:00,1004
cnt_20241028_042,2024-10,464,313,369,82749,213,2,1,8,2,2024-12-02 16:00:00,905
cnt_20241010_033,2024-10,983,668,788,129486,517,5,3,14,3,2024-11-14 10:00:00,1961
cnt_20241013_001,2024-10,758,586,691,14174,379,4,2,15,3,2024-11-17 07:00:00,1093
cnt_20241017_039,2024-10,351,243,287,39105,124,1,1,6,1,2024-11-21 16:00:00,788
cnt_20241024_039,2024-10,2607,1895,2236,59577,1284,14,3,48,10,2024-11-28 11:00:00,3737
cnt_20241020_018,2024-10,229,161,190,4713,132,1,0,75,15,2024-11-24 11:00:00,389
cnt_20241010_044,2024-10,207,156,184,14382,121,1,0,4,1,2024-11-14 18:00:00,294
cnt_20241005_030,2024-10,922,640,755,24278,434,3,1,17,3,2024-11-09 16:00:00,1594
cnt_20241011_007,2024-10,602,427,504,81802,242,3,1,11,1,2024-11-15 21:00:00,1037
cnt_20241011_032,2024-10,2056,1585,1870,38505,1127,8,4,760,150,2024-11-15 09:00:00,4219
cnt_20241029_040,2024-10,273,216,255,4183,156,1,0,6,1,2024-12-03 11:00:00,557
cnt_20241023_029,2024-10,471,373,440,9117,274,2,1,145,29,2024-11-27 08:00:00,842
cnt_20241019_009,2024-10,1592,1066,1258,265075,781,7,4,29,5,2024-11-23 12:00:00,3421
cnt_20241031_048,2024-10,223,174,205,3794,116,1,0,3,0,2024-12-05 12:00:00,432
cnt_20241009_007,2024-10,429,317,374,8018,229,1,1,7,2,2024-11-13 10:00:00,640
cnt_20241024_024,2024-10,1760,1347,1589,42496,861,7,2,35,7,2024-11-28 12:00:00,2710
cnt_20241002_039,2024-10,373,292,345,8240,192,2,1,123,25,2024-11-06 19:00:00,587
cnt_20241003_009,2024-10,422,291,343,39905,152,1,0,95,28,2024-11-07 07:00:00,578
cnt_20241021_003,2024-10,399,273,322,73342,194,1,0,7,1,2024-11-25 10:00:00,887
cnt_20241012_001,2024-10,423,307,362,41348,196,1,0,8,2,2024-11-16 20:00:00,799
cnt_20241007_021,2024-10,520,386,455,63207,314,2,1,8,1,2024-11-11 11:00:00,924
cnt_20241011_040,2024-10,427,335,395,9013,204,2,1,9,1,2024-11-15 16:00:00,667
cnt_20241011_037,2024-10,1080,747,881,26446,423,4,3,16,3,2024-11-15 15:00:00,1764
cnt_20241028_021,2024-10,350,275,324,7436,157,1,0,7,1,2024-12-02 13:00:00,741
cnt_20241025_039,2024-10,985,706,833,30607,354,4,2,18,3,2024-11-29 13:00:00,1919
cnt_20241015_026,2024-10,280,190,224,25426,110,1,1,5,1,2024-11-19 07:00:00,546
cnt_20241019_011,2024-10,397,270,319,40640,177,1,0,6,2,2024-11-23 14:00:00,784
cnt_20241029_033,2024-10,262,182,215,4964,143,2,1,5,1,2024-12-03 16:00:00,531
cnt_20241024_021,2024-10,499,386,455,9873,269,2,0,10,2,2024-11-28 13:00:00,851
cnt_20241028_053,2024-10,337,262,309,40102,113,1,1,114,33,2024-12-02 11:00:00,727
cnt_20241008_026,2024-10,117,78,92,2914,54,0,0,2,1,2024-11-12 09:00:00,180
cnt_20241005_016,2024-10,109,74,87,2787,53,0,0,2,0,2024-11-09 19:00:00,214
cnt_20241002_002,2024-10,248,193,228,5850,131,1,1,68,13,2024-11-06 11:00:00,367
cnt_20241027_020,2024-10,1025,746,880,72083,614,3,2,15,2,2024-12-01 18:00:00,1441
cnt_20241019_022,2024-10,394,308,363,6495,207,1,1,7,1,2024-11-23 13:00:00,616
cnt_20241006_024,2024-10,1954,1388,1638,39229,875,5,5,34,6,2024-11-10 08:00:00,4273
cnt_20241013_010,2024-10,138,98,116,2902,62,1,0,2,0,2024-11-17 10:00:00,199
cnt_20241007_006,2024-10,581,385,454,55004,175,3,1,160,46,2024-11-11 18:00:00,1019
cnt_20241030_050,2024-10,209,150,177,18585,83,0,0,4,1,2024-12-04 10:00:00,445
cnt_20241020_019,2024-10,476,376,444,8411,292,2,1,180,35,2024-11-24 07:00:00,806
cnt_20241021_019,2024-10,280,219,258,5185,154,1,1,5,1,2024-11-25 16:00:00,426
cnt_20241008_023,2024-10,1662,1201,1417,37347,877,4,2,23,4,2024-11-12 18:00:00,2361
cnt_20241023_040,2024-10,523,356,420,85660,222,2,1,9,1,2024-11-27 08:00:00,903
cnt_20241021_023,2024-10,459,341,402,9987,260,2,1,8,1,2024-11-25 09:00:00,849
cnt_20241023_005,2024-10,780,519,612,17003,362,4,2,13,2,2024-11-27 11:00:00,1431
cnt_20241030_035,2024-10,524,353,417,85063,261,1,1,8,2,2024-12-04 08:00:00,948
cnt_20241028_047,2024-10,546,384,453,13831,236,2,1,10,2,2024-12-02 16:00:00,1076
cnt_20241009_033,2024-10,3658,2431,2869,98498,1521,14,9,1151,227,2024-11-13 10:00:00,7082
cnt_20241020_028,2024-10,1477,959,1132,28797,776,7,2,23,5,2024-11-24 07:00:00,2457
cnt_20241002_012,2024-10,2470,1850,2183,41633,1459,10,2,52,11,2024-11-06 09:00:00,3408
cnt_20241014_027,2024-10,169,115,136,13564,74,0,0,51,15,2024-11-18 07:00:00,270
cnt_20241004_046,2024-10,221,166,196,3947,106,1,1,64,13,2024-11-08 12:00:00,439
cnt_20241028_004,2024-10,262,180,212,24106,101,1,0,5,2,2024-12-02 19:00:00,432
cnt_20241014_032,2024-10,111,74,87,2442,48,1,0,2,0,2024-11-18 09:00:00,162
cnt_20241007_040,2024-10,286,196,231,5507,139,1,1,65,13,2024-11-11 07:00:00,617
cnt_20241001_019,2024-10,282,207,244,21778,153,1,1,6,1,2024-11-05 19:00:00,475
cnt_20241014_021,2024-10,432,332,392,6643,272,2,1,6,1,2024-11-18 17:00:00,744
cnt_20241031_042,2024-10,1762,1324,1562,36621,887,10,3,37,8,2024-12-05 17:00:00,3594
cnt_20241016_027,2024-10,600,468,552,9846,342,2,1,161,32,2024-11-20 10:00:00,862
cnt_20241018_045,2024-10,327,239,282,8183,156,1,0,6,2,2024-11-22 09:00:00,499
cnt_20241012_030,2024-10,380,271,320,6806,192,1,1,7,1,2024-11-16 15:00:00,658
cnt_20241018_002,2024-10,463,326,385,10055,184,2,1,8,1,2024-11-22 10:00:00,944
cnt_20241010_021,2024-10,93,61,72,1971,44,1,0,1,0,2024-11-14 14:00:00,162
cnt_20241016_043,2024-10,2080,1441,1700,54311,984,6,5,29,6,2024-11-20 19:00:00,3452
cnt_20241028_041,2024-10,219,150,177,22215,103,1,0,3,0,2024-12-02 18:00:00,329
cnt_20241016_050,2024-10,53,42,50,5229,27,0,0,19,5,2024-11-20 19:00:00,93
cnt_20241026_021,2024-10,1228,946,1116,24179,717,4,1,19,4,2024-11-30 10:00:00,2032
cnt_20241029_018,2024-10,181,127,150,4722,85,1,0,3,1,2024-12-03 10:00:00,332
cnt_20241002_013,2024-10,269,195,230,32515,92,1,1,5,2,2024-11-06 15:00:00,524
cnt_20241022_001,2024-10,388,269,317,37141,165,2,1,6,2,2024-11-26 15:00:00,706
cnt_20241029_023,2024-10,400,271,320,63893,135,2,0,6,1,2024-12-03 21:00:00,763
cnt_20241017_032,2024-10,108,74,87,2659,52,1,0,1,0,2024-11-21 14:00:00,165
cnt_20241025_029,2024-10,467,346,408,39431,256,2,1,149,43,2024-11-29 17:00:00,1051
cnt_20241010_051,2024-10,53,39,46,997,26,0,0,1,0,2024-11-14 10:00:00,98
cnt_20241003_025,2024-10,282,191,225,34472,118,2,1,4,1,2024-11-07 21:00:00,413
cnt_20241030_046,2024-10,210,151,178,3598,106,1,0,3,1,2024-12-04 07:00:00,432
cnt_20241008_017,2024-10,168,118,139,4323,81,1,0,2,0,2024-11-12 10:00:00,237
cnt_20241015_005,2024-10,444,346,408,5757,275,2,1,7,1,2024-11-19 08:00:00,805
cnt_20241017_023,2024-10,543,417,492,10842,302,3,1,180,36,2024-11-21 17:00:00,1123
cnt_20241017_044,2024-10,81,63,74,1599,44,0,0,2,0,2024-11-21 18:00:00,111
cnt_20241004_022,2024-10,1019,772,911,24902,478,3,1,18,3,2024-11-08 17:00:00,1556
cnt_20241011_010,2024-10,559,401,473,12496,294,3,2,11,2,2024-11-15 15:00:00,782
cnt_20241029_043,2024-10,2605,2044,2412,46250,1487,7,2,811,160,2024-12-03 16:00:00,3532
cnt_20241001_024,2024-10,271,193,228,5148,152,1,1,87,17,2024-11-05 13:00:00,417
cnt_20241011_052,2024-10,221,161,190,25177,73,1,0,3,1,2024-11-15 09:00:00,467
cnt_20241027_011,2024-10,409,307,362,38236,207,2,1,9,1,2024-12-01 22:00:00,595
cnt_20241015_044,2024-10,194,130,153,42469,72,1,0,3,1,2024-11-19 19:00:00,378
cnt_20241011_016,2024-10,486,356,420,8122,252,2,1,8,2,2024-11-15 19:00:00,813
cnt_20241029_041,2024-10,451,303,358,9384,201,3,1,7,2,2024-12-03 14:00:00,987
cnt_20241021_011,2024-10,345,232,274,37605,159,2,0,5,1,2024-11-25 19:00:00,752
cnt_20241002_016,2024-10,200,145,171,23849,91,1,0,3,1,2024-11-06 18:00:00,417
cnt_20241017_016,2024-10,1395,951,1122,27923,768,7,2,19,3,2024-11-21 09:00:00,2065
cnt_20241011_002,2024-10,350,266,314,47601,175,2,0,6,1,2024-11-15 10:00:00,514
cnt_20241018_043,2024-10,394,260,307,7525,183,2,1,6,1,2024-11-22 12:00:00,703
cnt_20241026_022,2024-10,793,559,660,127628,345,2,1,16,3,2024-11-30 19:00:00,1118
cnt_20241030_017,2024-10,318,242,286,37425,111,1,0,103,30,2024-12-04 08:00:00,592
cnt_20241013_032,2024-10,368,291,343,5191,221,1,1,8,2,2024-11-17 16:00:00,540
cnt_20241026_025,2024-10,255,191,225,21382,136,1,1,5,0,2024-11-30 22:00:00,430
cnt_20241008_014,2024-10,642,497,586,15595,244,3,2,12,2,2024-11-12 19:00:00,1413
cnt_20241029_024,2024-10,93,60,71,8974,39,0,0,1,1,2024-12-03 19:00:00,188
cnt_20241003_038,2024-10,409,291,343,10103,183,2,1,104,20,2024-11-07 11:00:00,764
cnt_20241017_056,2024-10,622,459,542,90601,354,3,1,12,2,2024-11-21 11:00:00,1279
cnt_20241030_010,2024-10,626,415,490,17066,259,2,2,9,2,2024-12-04 09:00:00,1401
cnt_20241016_042,2024-10,406,312,368,58940,236,2,0,7,1,2024-11-20 14:00:00,804
cnt_20241001_012,2024-10,1336,872,1029,34179,627,8,2,24,4,2024-11-05 13:00:00,2436
cnt_20241004_010,2024-10,507,341,402,10708,205,2,1,7,2,2024-11-08 17:00:00,697
cnt_20241016_008,2024-10,149,99,117,13283,51,1,0,2,1,2024-11-20 10:00:00,302
cnt_20241012_011,2024-10,608,403,476,12162,265,3,1,9,2,2024-11-16 09:00:00,871
cnt_20241008_036,2024-10,753,550,649,87895,296,4,1,264,76,2024-11-12 08:00:00,1525
cnt_20241006_028,2024-10,1543,1188,1402,138055,713,7,1,28,9,2024-11-10 10:00:00,2880
cnt_20241025_014,2024-10,847,634,748,15194,462,2,1,17,3,2024-11-29 15:00:00,1772
cnt_20241004_041,2024-10,255,170,201,5978,101,1,0,4,0,2024-11-08 15:00:00,391
cnt_20241010_015,2024-10,1899,1483,1750,28664,1211,5,5,36,8,2024-11-14 17:00:00,3181
cnt_20241027_031,2024-10,3797,2650,3127,76372,1910,8,9,70,14,2024-12-01 08:00:00,5895
cnt_20241020_001,2024-10,461,318,375,70445,205,1,1,6,1,2024-11-24 19:00:00,797
cnt_20241011_033,2024-10,1535,1172,1383,25911,962,3,4,30,6,2024-11-15 07:00:00,2850
cnt_20241002_009,2024-10,664,521,615,59828,263,3,1,11,3,2024-11-06 12:00:00,1376
cnt_20241014_033,2024-10,748,497,586,72668,356,4,1,11,2,2024-11-18 20:00:00,1366
cnt_20241025_048,2024-10,151,104,123,3436,81,0,0,2,1,2024-11-29 10:00:00,314
cnt_20241013_015,2024-10,254,183,216,5566,136,1,0,4,0,2024-11-17 15:00:00,502
cnt_20241009_031,2024-10,633,484,571,6116,470,3,1,13,2,2024-11-13 18:00:00,1070
cnt_20241015_004,2024-10,1398,924,1090,271338,588,6,1,20,4,2024-11-19 17:00:00,2627
cnt_20241027_010,2024-10,513,335,395,98769,265,2,1,7,1,2024-12-01 12:00:00,942
cnt_20241024_022,2024-10,368,286,337,6995,209,1,1,97,19,2024-11-28 14:00:00,634
cnt_20241028_019,2024-10,1074,774,913,18153,551,5,2,15,2,2024-12-02 19:00:00,2401
cnt_20241016_047,2024-10,1028,804,949,105611,419,4,1,385,111,2024-11-20 12:00:00,2162
cnt_20241008_015,2024-10,1058,768,906,24190,506,4,2,20,4,2024-11-12 12:00:00,1598
cnt_20241030_023,2024-10,304,229,270,6450,175,2,1,105,21,2024-12-04 12:00:00,470
cnt_20241025_027,2024-10,207,142,168,4521,98,1,0,4,1,2024-11-29 15:00:00,328
cnt_20241025_003,2024-10,481,333,393,46582,241,1,1,8,1,2024-11-29 18:00:00,715
cnt_20241031_017,2024-10,505,341,402,10103,241,2,1,134,26,2024-12-05 10:00:00,1013
cnt_20241025_005,2024-10,1432,1039,1226,32766,781,7,3,370,73,2024-11-29 09:00:00,3042
cnt_20241017_031,2024-10,1214,886,1045,22682,671,2,2,20,4,2024-11-21 11:00:00,1833
cnt_20241009_035,2024-10,452,338,399,39067,241,2,1,9,1,2024-11-13 20:00:00,964
cnt_20241021_016,2024-10,254,166,196,26449,66,1,0,61,18,2024-11-25 07:00:00,464
cnt_20241017_045,2024-10,927,690,814,100877,427,3,1,17,2,2024-11-21 18:00:00,2048
cnt_20241031_025,2024-10,675,480,566,115007,316,4,1,11,2,2024-12-05 13:00:00,1487
cnt_20241013_017,2024-10,628,469,553,68853,306,3,2,11,2,2024-11-17 20:00:00,1253
cnt_20241025_042,2024-10,319,207,244,56095,127,1,1,4,1,2024-11-29 19:00:00,559
cnt_20241015_032,2024-10,476,345,407,8809,255,2,1,9,2,2024-11-19 15:00:00,784
cnt_20241001_034,2024-10,1886,1295,1528,342162,876,7,2,25,5,2024-11-05 13:00:00,3847
cnt_20241009_028,2024-10,758,572,675,129395,388,2,1,13,3,2024-11-13 08:00:00,1050
cnt_20241025_009,2024-10,930,699,825,12949,571,3,1,18,4,2024-11-29 11:00:00,1718
cnt_20241011_041,2024-10,832,582,687,83190,340,3,2,15,2,2024-11-15 18:00:00,1812
